cnpj;Nome;Nome Fantasia;Valor Total
00.085.040/0001-83;SCONT CONTABILIDADE LTDA;SCONT CONTABILIDADE;100.342,06
00.098.620/0001-05;KALLU MATERIAIS DE CONSTRUCAO LTDA;KALLU MATERIAIS DE CONSTRUCAO;642.961,83
00.100.992/0001-29;TRANSPORTES KOBRASOL LTDA;TRANSPORTES KOBRASOL;2.772.886,63
00.102.859/0001-01;EMPREITEIRA CAMBIRELA LTDA;EMPREITEIRA CAMBIRELA;106.567,23
00.198.171/0001-77;CENTRO EDUCACIONAL ZILA ROSAR LTDA;CENTRO EDUCACIONAL SONHO ENCANTADO;579.908,44
00.303.403/0001-00;TRANSFORTE TRANSPORTES E SERVICOS LTDA EPP;;1.424.180,07
00.309.437/0001-01;EMOBRAC CONSTRUCOES & INCORPORACAO LTDA;;119.479,72
00.354.113/0001-95;TRANSFORME MAO DE OBRA NA CONSTRUCAO CIVIL LTDA;TRANSFORMY CONSTRUCOES;501.775,80
00.388.606/0001-46;SONIA RAMOS;CONFECCOES MARIBO;153.794,73
00.409.265/0001-48;SUPERMERCADO NAVOJRO LTDA;SUPERMERCADO DESCONTAO;197.157,23
00.485.216/0001-94;FLARES ALTHOFF CONSTRUTORA;;134.801,00
00.495.821/0001-46;MINARAB MINERACAO ARNABDON INDUSTRIA E COMERCIO LTDA;;456.353,90
00.515.244/0001-07;FRIGOLOG TRANSPORTES E ARMAZENAGEM LTDA;FRIGOLOG;2.590.003,09
00.540.108/0001-77;RAVOL INDUSTRIA COMERCIO E REPRESENTACOES DO VESTUARIO LTDA;RAVOL JEANS;473.994,94
00.544.774/0001-83;COMANDO METALURGICA LTDA;COMANDO METALURGICA;2.992.849,85
00.551.849/0001-53;SET EMPREITEIRA DE MAO DE OBRA LTDA;;219.496,56
00.564.861/0001-00;SERATA COM E DISTRIBUICAO LTDA;SERATA;115.287,82
00.575.265/0001-18;NOSSA SENHORA DO DESTERRO TURISMO LTDA;DESTERO TURISMO;386.097,78
00.588.396/0001-30;ESSENCIAL ESTETICA AVANCADA LTDA;ESSENCIAL;112.881,72
00.667.608/0001-74;CRAFT SINALIZACAO E DESIGN LTDA;CRAFT;509.756,56
00.687.500/0001-43;RONALDO DA ROSA JR;ALEMAO MATERIAIS & CONSTRUCOES;2.828.335,72
00.713.282/0001-74;VIDROMIR INDUSTRIA E COM. DE VIDROS TEMPERADOS LTDA;PERSONAL GLASS;132.866,35
