CNPJ,Clientes
83.471.169/0001-57,Não é Cliente
05.319.715/0001-25,Não é Cliente
12.862.723/0001-89,Não é Cliente
23.418.366/0001-80,Não é Cliente
02.070.499/0001-39,Não é Cliente
15.124.758/0001-09,Não é Cliente
01.084.408/0001-51,Não é Cliente
07.315.463/0001-91,Não é Cliente
20.597.108/0001-10,Não é Cliente
14.081.119/0001-40,Não é Cliente
02.164.746/0001-66,Não é Cliente
19.834.432/0001-26,Não é Cliente
16.807.013/0001-07,Não é Cliente
09.342.091/0001-18,Não é Cliente
02.558.516/0001-81,Não é Cliente
09.640.956/0001-22,Não é Cliente
13.713.568/0001-00,Não é Cliente
00.098.620/0001-05,Não é Cliente
20.361.787/0001-24,Não é Cliente
02.374.194/0001-10,Não é Cliente
24.833.625/0001-00,Não é Cliente
81.862.013/0001-71,Não é Cliente
05.358.310/0001-04,Não é Cliente
15.508.323/0001-68,Não é Cliente
00.309.437/0001-01,Não é Cliente
10.194.452/0001-05,Não é Cliente
08.925.210/0001-00,Não é Cliente
12.610.961/0001-05,Não é Cliente
20.991.987/0001-60,Não é Cliente
13.508.784/0001-05,Não é Cliente
27.391.546/0001-77,Não é Cliente
21.180.524/0001-81,Não é Cliente
30.197.945/0001-06,Não é Cliente
02.811.902/0001-33,Não é Cliente
03.150.915/0001-71,Não é Cliente
76.823.723/0003-14,Não é Cliente
02.215.320/0001-94,Não é Cliente
32.916.365/0001-57,Não é Cliente
11.217.710/0001-94,Não é Cliente
02.429.628/0001-32,Não é Cliente
14.631.817/0001-72,Não é Cliente
04.351.335/0001-05,Não é Cliente
14.588.463/0001-20,Não é Cliente
03.249.563/0001-06,Não é Cliente
18.279.648/0001-04,Não é Cliente
33.264.798/0001-38,Não é Cliente
25.072.250/0001-68,Não é Cliente
12.365.305/0001-86,Não é Cliente
43.211.319/0001-79,Não é Cliente
07.216.218/0001-27,Não é Cliente
41.522.205/0001-14,Não é Cliente
93.411.973/0001-02,Não é Cliente
04.403.880/0001-06,Não é Cliente
81.595.951/0001-52,Não é Cliente
01.183.240/0001-31,Não é Cliente
74.196.007/0001-67,Não é Cliente
34.706.483/0001-66,Não é Cliente
08.850.027/0001-85,Não é Cliente
12.646.589/0001-89,Não é Cliente
20.345.298/0001-89,Não é Cliente
82.189.762/0001-42,Não é Cliente
03.803.019/0001-64,Não é Cliente
17.959.085/0001-32,Não é Cliente
26.456.884/0001-87,Não é Cliente
85.208.262/0001-07,Não é Cliente
06.107.851/0001-14,Não é Cliente
05.464.344/0001-75,Não é Cliente
09.551.895/0001-27,Não é Cliente
13.490.682/0001-00,Não é Cliente
91.995.498/0001-25,Não é Cliente
02.172.574/0001-72,Não é Cliente
10.267.400/0001-11,Não é Cliente
33.953.740/0001-00,Não é Cliente
15.584.151/0001-01,Não é Cliente
12.898.077/0001-00,Não é Cliente
05.240.848/0001-01,Não é Cliente
05.435.800/0001-59,Não é Cliente
10.456.856/0001-20,Não é Cliente
32.295.945/0001-74,Não é Cliente
77.910.545/0001-60,Não é Cliente
26.033.276/0001-60,Não é Cliente
03.201.164/0001-75,Não é Cliente
00.409.265/0001-48,Não é Cliente
04.273.177/0001-12,Não é Cliente
09.468.805/0001-39,Não é Cliente
12.210.278/0001-72,Não é Cliente
18.558.533/0001-59,Não é Cliente
18.039.452/0001-42,Não é Cliente
05.193.063/0001-25,Não é Cliente
19.534.626/0001-06,Não é Cliente
42.144.217/0001-15,Não é Cliente
08.198.584/0001-63,Não é Cliente
03.359.805/0001-14,Não é Cliente
09.515.547/0001-02,Não é Cliente
16.422.948/0001-75,Não é Cliente
79.864.583/0001-59,Não é Cliente
06.004.318/0001-27,Não é Cliente
08.594.751/0001-95,Não é Cliente
23.210.485/0001-43,Não é Cliente
28.561.761/0001-31,Não é Cliente
05.655.723/0001-42,Não é Cliente
06.895.475/0001-70,Não é Cliente
10.720.136/0001-20,Não é Cliente
26.490.038/0001-83,Não é Cliente
02.411.623/0001-82,Não é Cliente
07.836.385/0001-70,Não é Cliente
11.826.702/0001-45,Não é Cliente
11.163.412/0001-69,Não é Cliente
28.291.519/0001-95,Cliente
85.229.508/0001-19,Não é Cliente
90.528.712/0001-70,Não é Cliente
26.024.137/0001-70,Não é Cliente
16.751.400/0001-79,Não é Cliente
19.339.436/0001-38,Não é Cliente
04.653.773/0001-28,Não é Cliente
05.100.931/0001-85,Não é Cliente
